Actividades vinculadas al ámbito de los personajes,Distribución de personajes en la imagen,SUM de 1º ESO_SM,SUM de 2º ESO_SM,SUM de 1º ESO_Santillana,SUM de 2º ESO_Santillana,SUM de 1º ESO_VV,SUM de 2º ESO_VV
"Actividades vinculadas al ámbito artístico, ideológico o cultural",Colectivo de hombres (3 o más hombres),2,6,3,4,1,7
"Actividades vinculadas al ámbito artístico, ideológico o cultural",Colectivo de mujeres (3 o más mujeres),1,0,1,0,0,0
"Actividades vinculadas al ámbito artístico, ideológico o cultural",Hombres (1 o 2),6,5,4,10,3,8
"Actividades vinculadas al ámbito artístico, ideológico o cultural","Indeterminada (P. Ej.: Personajes ambiguos, bebés, etc.)",1,0,0,0,1,0
"Actividades vinculadas al ámbito artístico, ideológico o cultural",Mujeres (1 o 2),4,0,3,2,1,0
Actividades vinculadas al ámbito científico-técnico,Colectivo de hombres (3 o más hombres),5,5,3,5,2,3
Actividades vinculadas al ámbito científico-técnico,Hombres (1 o 2),5,11,2,1,0,4
Actividades vinculadas al ámbito científico-técnico,"Indeterminada (P. Ej.: Personajes ambiguos, bebés, etc.)",0,0,2,0,0,0
Actividades vinculadas al ámbito científico-técnico,Mujeres (1 o 2),0,0,1,0,0,0
Actividades vinculadas al ámbito doméstico y de interrelación social,Colectivo de hombres (3 o más hombres),0,2,0,1,2,1
Actividades vinculadas al ámbito doméstico y de interrelación social,Colectivo de mujeres (3 o más mujeres),0,0,0,1,1,0
Actividades vinculadas al ámbito doméstico y de interrelación social,Hombres (1 o 2),2,1,2,0,1,0
Actividades vinculadas al ámbito doméstico y de interrelación social,"Indeterminada (P. Ej.: Personajes ambiguos, bebés, etc.)",0,0,1,0,1,0
Actividades vinculadas al ámbito doméstico y de interrelación social,Mujeres (1 o 2),0,0,1,0,2,0
"Actividades vinculadas al ámbito económico, laboral o profesional",Colectivo de hombres (3 o más hombres),3,10,7,10,6,11
"Actividades vinculadas al ámbito económico, laboral o profesional",Colectivo de mujeres (3 o más mujeres),0,1,0,0,0,0
"Actividades vinculadas al ámbito económico, laboral o profesional",Hombres (1 o 2),4,6,3,9,2,6
"Actividades vinculadas al ámbito económico, laboral o profesional","Indeterminada (P. Ej.: Personajes ambiguos, bebés, etc.)",1,0,3,0,2,1
"Actividades vinculadas al ámbito económico, laboral o profesional",Mujeres (1 o 2),0,0,1,0,2,1
Actividades vinculadas al ámbito lúdico y deportivo,Colectivo de hombres (3 o más hombres),6,1,3,0,6,0
Actividades vinculadas al ámbito lúdico y deportivo,Hombres (1 o 2),7,1,3,0,4,1
Actividades vinculadas al ámbito lúdico y deportivo,"Indeterminada (P. Ej.: Personajes ambiguos, bebés, etc.)",1,0,2,0,0,0
Actividades vinculadas al ámbito militar,Colectivo de hombres (3 o más hombres),10,23,6,26,11,21
Actividades vinculadas al ámbito militar,Hombres (1 o 2),12,14,9,15,18,6
Actividades vinculadas al ámbito militar,Mujeres (1 o 2),0,0,0,1,1,0
Actividades vinculadas al ámbito político-jurídico,Colectivo de hombres (3 o más hombres),10,27,4,24,5,27
Actividades vinculadas al ámbito político-jurídico,Hombres (1 o 2),18,24,9,16,9,8
Actividades vinculadas al ámbito político-jurídico,Mujeres (1 o 2),0,0,1,2,0,0
Actividades vinculadas al ámbito religioso,Colectivo de hombres (3 o más hombres),1,25,7,24,9,27
Actividades vinculadas al ámbito religioso,Colectivo de mujeres (3 o más mujeres),0,0,0,1,0,0
Actividades vinculadas al ámbito religioso,Hombres (1 o 2),2,16,11,20,7,15
Actividades vinculadas al ámbito religioso,"Indeterminada (P. Ej.: Personajes ambiguos, bebés, etc.)",0,1,4,0,2,1
Actividades vinculadas al ámbito religioso,Mujeres (1 o 2),3,0,4,2,3,0
Actividades vinculadas al ámbito social,Colectivo de hombres (3 o más hombres),1,6,1,5,4,8
Actividades vinculadas al ámbito social,Colectivo de mujeres (3 o más mujeres),0,1,0,0,0,0
Actividades vinculadas al ámbito social,Hombres (1 o 2),1,6,0,1,0,1
Actividades vinculadas al ámbito social,"Indeterminada (P. Ej.: Personajes ambiguos, bebés, etc.)",0,0,1,0,2,1
Actividades vinculadas al ámbito social,Mujeres (1 o 2),0,0,0,2,1,0
Indeterminada (Genérico),Colectivo de hombres (3 o más hombres),4,0,0,0,4,0
Indeterminada (Genérico),Colectivo de mujeres (3 o más mujeres),0,0,0,0,0,1
Indeterminada (Genérico),Hombres (1 o 2),17,0,15,1,18,4
Indeterminada (Genérico),"Indeterminada (P. Ej.: Personajes ambiguos, bebés, etc.)",1,0,4,0,3,1
Indeterminada (Genérico),Mujeres (1 o 2),5,0,5,1,13,0
Suma total,,133,192,126,184,147,164
