Distribución de personajes en la imagen,Estereotipos/Atributos de Género diferenciados,SUM de 1º ESO_SM,SUM de 1º ESO_Santillana,SUM de 1º ESO_VV,SUM de 2º ESO_SM,SUM de 2º ESO_Santillana,SUM de 2º ESO_VV
Colectivo de hombres (3 o más hombres),Activo/a,0,0,0,8,3,13
Colectivo de hombres (3 o más hombres),Agresivo/a,0,0,0,3,5,8
Colectivo de hombres (3 o más hombres),Atlético/a,0,0,0,2,5,6
Colectivo de hombres (3 o más hombres),Autoritario/a,0,0,0,0,0,1
Colectivo de hombres (3 o más hombres),Decidido/a,0,0,0,1,3,1
Colectivo de hombres (3 o más hombres),Dirigente,0,0,0,1,1,8
Colectivo de hombres (3 o más hombres),Dócil,0,0,0,3,0,3
Colectivo de hombres (3 o más hombres),Dominante,0,0,0,4,0,3
Colectivo de hombres (3 o más hombres),Educado/a,0,0,0,5,0,4
Colectivo de hombres (3 o más hombres),Emotivo/a,0,0,0,0,0,1
Colectivo de hombres (3 o más hombres),Fuerte,0,0,0,20,26,13
Colectivo de hombres (3 o más hombres),Independiente,0,0,0,1,2,0
Colectivo de hombres (3 o más hombres),Indeterminado,32,25,36,2,4,11
Colectivo de hombres (3 o más hombres),Intelectual,0,0,0,20,17,12
Colectivo de hombres (3 o más hombres),Intrépido/a,0,0,0,1,0,2
Colectivo de hombres (3 o más hombres),Libre,0,0,0,3,3,7
Colectivo de hombres (3 o más hombres),Líder,0,0,0,7,2,21
Colectivo de hombres (3 o más hombres),No disponible,0,1,2,0,0,1
Colectivo de hombres (3 o más hombres),Pasivo/a,0,0,0,1,0,0
Colectivo de hombres (3 o más hombres),Poderoso/a,0,0,0,2,0,6
Colectivo de hombres (3 o más hombres),Profesional,0,0,0,2,0,0
Colectivo de hombres (3 o más hombres),Prudente,0,0,0,0,0,2
Colectivo de hombres (3 o más hombres),Religioso/a,0,0,0,18,17,17
Colectivo de hombres (3 o más hombres),Resolutivo/a,0,0,0,1,1,0
Colectivo de hombres (3 o más hombres),Sumiso/a,0,0,0,7,0,0
Colectivo de hombres (3 o más hombres),Temerario/a,0,0,0,2,0,0
Colectivo de hombres (3 o más hombres),Tenaz,0,0,0,1,0,0
Colectivo de hombres (3 o más hombres),Trabajador/a,0,0,0,9,9,10
Colectivo de hombres (3 o más hombres),Valiente,0,0,0,15,18,10
Colectivo de hombres (3 o más hombres),Viril,0,0,0,1,2,2
Colectivo de mujeres (3 o más mujeres),Afectivo/a,0,0,0,0,0,1
Colectivo de mujeres (3 o más mujeres),Débil,0,0,0,0,0,1
Colectivo de mujeres (3 o más mujeres),Dócil,0,0,0,0,0,1
Colectivo de mujeres (3 o más mujeres),Indeterminado,1,1,1,1,0,0
Colectivo de mujeres (3 o más mujeres),Religioso/a,0,0,0,0,1,0
Colectivo de mujeres (3 o más mujeres),Sensible,0,0,0,0,0,1
Colectivo de mujeres (3 o más mujeres),Sumiso/a,0,0,0,0,0,1
Colectivo de mujeres (3 o más mujeres),Trabajador/a,0,0,0,0,1,0
Hombres (1 o 2),Activo/a,0,0,0,3,7,6
Hombres (1 o 2),Afectivo/a,0,0,0,0,0,1
Hombres (1 o 2),Agresivo/a,0,0,0,1,0,2
Hombres (1 o 2),Artístico,0,0,0,0,0,1
Hombres (1 o 2),Atlético/a,0,0,0,3,12,5
Hombres (1 o 2),Autoritario/a,0,0,0,1,0,2
